"year","state","state_law","age","married_woman","after","log_wage"
1974,"NY",1,59,0,0,1.50331
1974,"NY",1,49,0,0,1.94157
1974,"CT",0,60,0,0,1.19583
1974,"CT",0,53,0,0,1.57426
1974,"CT",0,49,0,0,1.19583
1974,"CT",0,42,0,0,1.19583
1974,"CT",0,45,0,0,1.58787
1974,"MA",0,29,1,0,1.02147
1974,"MA",0,22,1,0,1.11244
1974,"CT",0,50,0,0,1.37815
1974,"CT",0,22,0,0,2.11212
1974,"CT",0,44,0,0,1.88897
1974,"MA",0,51,0,0,1.65325
1974,"MA",0,24,1,0,0.89472
1974,"MA",0,61,0,0,0.90814
1974,"MA",0,51,0,0,1.48551
1974,"MA",0,53,0,0,0.77931
1974,"MA",0,57,0,0,0.97268
1974,"MA",0,49,0,0,1.47346
1974,"MA",0,51,0,0,1.41897
1974,"NJ",1,21,1,0,1.54648
1974,"NJ",1,30,0,0,0.79036
1974,"NJ",1,30,1,0,1.19583
1974,"NJ",1,42,0,0,1.48351
1974,"NJ",1,33,1,0,0.97268
1974,"NJ",1,52,0,0,2.17039
1974,"NJ",1,58,0,0,2.05024
1974,"NJ",1,52,0,0,1.37146
1974,"NJ",1,50,0,0,1.88897
1974,"NJ",1,48,0,0,1.72645
1974,"NJ",1,64,0,0,1.09047
1974,"NJ",1,56,0,0,1.88897
1974,"NJ",1,63,0,0,1.30915
1974,"NJ",1,45,0,0,1.72645
1974,"NJ",1,26,0,0,1.66013
1974,"NJ",1,30,0,0,1.03566
1974,"NJ",1,30,0,0,1.03566
1974,"NJ",1,23,1,0,1.60129
1974,"NJ",1,45,0,0,1.8164
1974,"NJ",1,41,0,0,2.11212
1974,"NJ",1,42,0,0,1.37815
1974,"NJ",1,31,1,0,1.36134
1974,"NJ",1,43,0,0,1.96408
1974,"MA",0,37,1,0,1.5323
1974,"NY",1,45,0,0,1.77244
1974,"NY",1,64,0,0,1.47026
1974,"NY",1,53,0,0,1.97121
1974,"NY",1,42,0,0,1.88897
1974,"NY",1,35,1,0,1.88897
1974,"NY",1,25,0,0,1.78361
1974,"NY",1,50,0,0,3.27527
1974,"NY",1,65,0,0,3.32999
1974,"NY",1,38,1,0,3.18826
1974,"NY",1,48,0,0,3.49841
1974,"NY",1,51,0,0,2.97078
1974,"NY",1,25,1,0,3.72155
1974,"NY",1,54,0,0,1.80893
1974,"NY",1,58,0,0,1.58359
1974,"NY",1,44,0,0,2.07129
1974,"NY",1,62,0,0,1.33733
1974,"NY",1,41,0,0,1.36134
1974,"NY",1,29,1,0,1.224
1974,"NY",1,45,0,0,1.31114
1974,"NY",1,26,0,0,2.11212
1974,"NY",1,54,0,0,2.11531
1974,"NY",1,32,0,0,2.02175
1974,"NY",1,39,0,0,1.27279
1974,"NY",1,45,0,0,1.83768
1974,"NY",1,61,0,0,1.60129
1974,"NY",1,24,0,0,2.17666
1974,"NY",1,51,0,0,2.42797
1974,"NY",1,47,0,0,1.78361
1974,"NY",1,23,0,0,1.03331
1974,"NY",1,43,0,0,2.11212
1974,"NY",1,44,0,0,1.94454
1974,"NY",1,59,0,0,2.11212
1974,"NY",1,55,0,0,2.0225
1974,"NY",1,57,0,0,1.24235
1974,"NY",1,45,0,0,1.94454
1974,"NY",1,44,0,0,1.09943
1974,"NY",1,50,0,0,1.88897
1974,"NY",1,41,0,0,2.3998
1974,"NJ",1,48,0,0,1.34425
1974,"NJ",1,29,0,0,0.685
1974,"NJ",1,25,1,0,1.8164
1974,"NJ",1,51,0,0,1.78361
1974,"NJ",1,27,0,0,1.45819
1974,"NJ",1,56,0,0,1.68353
1974,"NJ",1,48,0,0,1.04168
1974,"NJ",1,62,0,0,2.47953
1974,"NJ",1,29,1,0,1.66583
1974,"NJ",1,62,0,0,1.49593
1974,"NJ",1,44,0,0,1.37815
1974,"NJ",1,48,0,0,1.88897
1974,"NJ",1,55,0,0,1.86877
1974,"NJ",1,51,0,0,1.72645
1974,"NJ",1,58,0,0,1.78361
1974,"NJ",1,51,0,0,2.4196
1974,"NJ",1,42,0,0,2.26627
1974,"NJ",1,48,0,0,2.47676
1974,"NJ",1,26,1,0,1.85851
1974,"NJ",1,30,0,0,1.78361
1974,"NJ",1,59,0,0,2.0225
1974,"NJ",1,24,1,0,1.99783
1974,"NY",1,46,0,0,2.18908
1974,"NY",1,54,0,0,1.91714
1974,"NY",1,31,0,0,2.44859
1974,"NY",1,53,0,0,1.78361
1974,"NY",1,41,0,0,1.5323
1974,"NY",1,20,0,0,1.05656
1974,"NY",1,33,1,0,2.16661
1974,"NY",1,33,0,0,2.67743
1974,"NY",1,25,1,0,1.98428
1974,"NY",1,45,0,0,1.88897
1974,"NY",1,47,0,0,2.20743
1974,"NY",1,47,0,0,2.0225
1974,"NY",1,45,0,0,1.60129
1974,"NY",1,56,0,0,1.78361
1974,"NY",1,51,0,0,1.66583
1974,"NY",1,23,0,0,1.5525
1974,"NY",1,47,0,0,2.20263
1974,"NY",1,63,0,0,1.66583
1974,"NY",1,56,0,0,1.41897
1974,"NY",1,53,0,0,1.78361
1974,"NY",1,60,0,0,1.09047
1974,"NY",1,34,1,0,1.19583
1974,"NY",1,58,0,0,1.47477
1974,"NY",1,57,0,0,1.88897
1974,"NY",1,56,0,0,1.60129
1974,"NY",1,56,0,0,2.05449
1974,"NY",1,41,0,0,2.15134
1974,"NY",1,38,1,0,0.685
1974,"NY",1,49,0,0,1.88897
1974,"NY",1,49,0,0,1.5323
1974,"NY",1,51,0,0,2.11212
1974,"NY",1,57,0,0,2.29444
1974,"NY",1,59,0,0,0.73061
1974,"NY",1,60,0,0,0.92139
1974,"NY",1,24,1,0,2.14029
1974,"NY",1,56,0,0,1.79466
1974,"NY",1,60,0,0,1.60794
1974,"NY",1,43,0,0,2.18908
1974,"NY",1,49,0,0,1.75544
1974,"NY",1,51,0,0,1.51998
1974,"NY",1,29,1,0,1.65325
1974,"NY",1,47,0,0,0.97268
1974,"NY",1,65,0,0,1.60129
1974,"NY",1,56,0,0,1.2541
1974,"NY",1,29,1,0,2.07129
1974,"NY",1,38,1,0,2.04598
1974,"NY",1,52,0,0,1.53615
1974,"NY",1,30,1,0,1.06344
1974,"NY",1,45,0,0,1.19583
1974,"NY",1,32,1,0,1.06344
1974,"NY",1,32,0,0,2.1813
1974,"NY",1,59,0,0,2.45952
1974,"NY",1,26,1,0,1.82443
1974,"NY",1,44,0,0,2.35898
1974,"NY",1,42,0,0,1.88897
1974,"NY",1,45,0,0,1.64051
1974,"NY",1,35,1,0,2.58212
1974,"NY",1,52,0,0,2.11212
1974,"NY",1,50,0,0,1.88897
1974,"NY",1,46,0,0,2.47676
1974,"NY",1,61,0,0,2.24565
1974,"NY",1,61,0,0,2.26627
1974,"NY",1,29,0,0,1.98428
1974,"NY",1,49,0,0,2.23256
1974,"NY",1,31,0,0,2.19499
1974,"NY",1,43,0,0,2.32508
1974,"NY",1,24,1,0,1.47778
1974,"NY",1,54,0,0,2.56807
1974,"NY",1,56,0,0,1.21563
1974,"NY",1,20,0,0,1.51168
1974,"NY",1,49,0,0,2.34956
1974,"NY",1,45,0,0,1.155
1974,"NY",1,48,0,0,2.8688
1974,"NY",1,48,0,0,2.36893
1974,"NY",1,46,0,0,2.05024
1974,"NY",1,20,0,0,1.34425
1974,"NY",1,50,0,0,1.9298
1974,"NY",1,27,0,0,1.24462
1974,"NY",1,52,0,0,2.90962
1974,"NY",1,41,0,0,1.52433
1974,"NY",1,36,1,0,1.86231
1974,"NY",1,44,0,0,2.45009
1974,"NY",1,54,0,0,1.21563
1974,"NY",1,55,0,0,2.15134
1974,"NY",1,54,0,0,2.00793
1974,"NY",1,53,0,0,1.86877
1974,"NY",1,21,1,0,1.41897
1974,"NY",1,48,0,0,2.0526
1974,"NY",1,24,0,0,2.98759
1974,"NY",1,33,1,0,1.45819
1974,"NY",1,39,1,0,1.45819
1974,"NY",1,46,0,0,2.22545
1974,"NY",1,47,0,0,1.46039
1974,"NY",1,56,0,0,1.6966
1974,"NY",1,47,0,0,1.19583
1974,"NY",1,33,1,0,1.75544
1974,"NY",1,55,0,0,1.69052
1974,"NY",1,47,0,0,1.21563
1974,"NY",1,55,0,0,1.5525
1974,"NY",1,50,0,0,2.58212
1974,"NY",1,47,0,0,1.93776
1974,"NY",1,27,1,0,1.5525
1974,"NY",1,23,1,0,1.67275
1974,"NJ",1,35,1,0,1.66583
1974,"NJ",1,57,0,0,1.70985
1974,"NJ",1,48,0,0,2.22545
1974,"NJ",1,42,0,0,1.19583
1974,"NJ",1,60,0,0,1.61454
1974,"NJ",1,64,0,0,0.27954
1974,"NJ",1,27,1,0,1.6789
1974,"NJ",1,62,0,0,1.45819
1974,"NJ",1,34,0,0,2.10543
1974,"NJ",1,24,1,0,1.34425
1974,"NJ",1,48,0,0,2.64381
1974,"NJ",1,45,0,0,1.75544
1974,"NJ",1,62,0,0,2.43792
1974,"NJ",1,64,0,0,2.18462
1974,"NJ",1,59,0,0,1.83768
1974,"NJ",1,55,0,0,1.98428
1974,"NJ",1,26,0,0,1.60129
1974,"NJ",1,41,0,0,2.33081
1974,"NJ",1,54,0,0,0.92139
1974,"NJ",1,22,0,0,1.07804
1974,"NJ",1,33,1,0,2.67743
1974,"NJ",1,48,0,0,0.94736
1974,"NJ",1,24,0,0,2.18908
1974,"NJ",1,51,0,0,1.60129
1974,"NJ",1,26,1,0,1.42944
1974,"NJ",1,57,0,0,2.07129
1974,"NJ",1,51,0,0,1.72645
1974,"NJ",1,50,0,0,1.46738
1974,"NJ",1,52,0,0,1.82497
1974,"NJ",1,49,0,0,1.45819
1974,"NJ",1,45,0,0,1.66583
1974,"NJ",1,35,1,0,1.47346
1974,"NJ",1,52,0,0,0.86732
1974,"NJ",1,24,0,0,1.93776
1974,"NJ",1,21,0,0,1.34425
1974,"NJ",1,33,1,0,1.06799
1974,"NJ",1,60,0,0,2.06293
1974,"NJ",1,55,0,0,1.96778
1974,"NJ",1,55,0,0,1.87081
1974,"NJ",1,51,0,0,2.83058
1974,"NJ",1,51,0,0,2.51758
1974,"NJ",1,50,0,0,1.47346
1974,"NJ",1,20,0,0,1.37815
1974,"NJ",1,54,0,0,1.48101
1974,"NJ",1,47,0,0,0.97268
1974,"NJ",1,33,1,0,1.05492
1974,"NJ",1,53,0,0,2.18377
1974,"NJ",1,47,0,0,2.29444
1974,"NJ",1,62,0,0,1.88897
1974,"NJ",1,20,0,0,2.13583
1974,"NJ",1,58,0,0,1.45819
1974,"NJ",1,61,0,0,1.41094
1974,"NJ",1,46,0,0,1.02147
1974,"NJ",1,42,0,0,2.35898
1974,"NJ",1,30,1,0,2.05024
1974,"NJ",1,54,0,0,1.88897
1974,"NJ",1,53,0,0,1.39554
1974,"NJ",1,23,0,0,1.64051
1974,"NJ",1,46,0,0,2.30768
1974,"NJ",1,21,0,0,1.72645
1974,"NY",1,60,0,0,1.93967
1974,"NY",1,51,0,0,1.81101
1974,"NY",1,62,0,0,0.97268
1974,"NY",1,49,0,0,1.86231
1974,"NY",1,43,0,0,1.45819
1974,"NY",1,27,1,0,1.36134
1974,"NY",1,47,0,0,2.24315
1974,"NY",1,45,0,0,1.09047
1974,"NY",1,64,0,0,1.41897
1974,"MA",0,62,0,0,1.86877
1974,"MA",0,50,0,0,1.86673
1974,"MA",0,43,0,0,1.19583
1974,"NY",1,61,0,0,1.5525
1974,"NY",1,27,1,0,2.06293
1974,"NY",1,55,0,0,1.61454
1974,"NY",1,48,0,0,1.60129
1974,"NY",1,64,0,0,1.87892
1974,"NY",1,41,0,0,2.24665
1974,"NY",1,37,1,0,1.54648
1974,"NY",1,40,0,0,2.11212
1974,"NY",1,54,0,0,1.09047
1974,"NY",1,47,0,0,1.88897
1974,"NY",1,47,0,0,0.97268
1974,"NY",1,59,0,0,2.11212
1974,"NY",1,33,1,0,1.98428
1974,"CT",0,48,0,0,2.24037
1974,"CT",0,54,0,0,1.61454
1974,"CT",0,52,0,0,1.38688
1974,"CT",0,23,0,0,1.37815
1974,"CT",0,41,0,0,1.91853
1974,"CT",0,42,0,0,1.41897
1974,"MA",0,47,0,0,1.94454
1974,"MA",0,23,0,0,1.45819
1974,"MA",0,24,0,0,1.5323
1974,"MA",0,60,0,0,1.41737
1974,"MA",0,63,0,0,1.72645
1974,"MA",0,58,0,0,1.29114
1974,"MA",0,47,0,0,1.93967
1974,"MA",0,45,0,0,1.155
1974,"MA",0,33,0,0,2.22545
1974,"MA",0,24,1,0,0.86732
1974,"MA",0,59,0,0,1.88228
1974,"NY",1,60,0,0,1.52433
1974,"NY",1,56,0,0,1.29114
1974,"NY",1,63,0,0,0.97268
1974,"NY",1,41,0,0,2.35898
1974,"NJ",1,47,0,0,2.11212
1974,"NJ",1,27,0,0,1.91853
1974,"NJ",1,26,0,0,2.58212
1974,"NJ",1,21,0,0,1.52433
1974,"NJ",1,50,0,0,1.77916
1974,"NY",1,37,1,0,0.97268
1974,"NY",1,62,0,0,1.19583
1974,"NY",1,46,0,0,0.97268
1974,"NY",1,56,0,0,1.37815
1974,"MA",0,43,0,0,1.88897
1974,"MA",0,47,0,0,2.35898
1974,"MA",0,43,0,0,2.6999
1974,"MA",0,58,0,0,1.66583
1974,"MA",0,36,1,0,1.23505
1974,"NY",1,50,0,0,1.5208
1974,"NY",1,38,1,0,1.27379
1974,"NY",1,41,0,0,2.00676
1974,"NY",1,31,1,0,1.81101
1974,"NJ",1,38,0,0,0.20257
1974,"NJ",1,49,0,0,0.30984
1974,"NJ",1,20,0,0,1.19583
1974,"NJ",1,61,0,0,0.83915
1974,"NJ",1,57,0,0,0.84593
1974,"NJ",1,53,0,0,0.83915
1974,"NJ",1,65,0,0,0.18992
1974,"NJ",1,65,0,0,1.37815
1974,"CT",0,55,0,0,1.19583
1974,"CT",0,28,1,0,1.15083
1974,"CT",0,24,0,0,1.5323
1974,"CT",0,32,1,0,1.66583
1974,"NY",1,38,0,0,2.08234
1974,"NY",1,51,0,0,2.09191
1974,"NY",1,49,0,0,1.58245
1974,"NY",1,52,0,0,1.56047
1974,"NY",1,63,0,0,1.27279
1974,"NY",1,48,0,0,1.56047
1974,"NY",1,43,0,0,1.37815
1974,"NY",1,49,0,0,2.15134
1974,"NY",1,50,0,0,1.66583
1974,"NY",1,46,0,0,0.99738
1974,"OH",0,54,0,0,1.60129
1974,"OH",0,46,0,0,0.86732
1974,"OH",0,23,0,0,1.52944
1974,"OH",0,42,0,0,1.24271
1974,"OH",0,36,1,0,1.5521
1974,"OH",0,25,0,0,1.27279
1974,"OH",0,57,0,0,1.41897
1974,"OH",0,44,0,0,0.685
1974,"OH",0,41,0,0,0.97268
1974,"OH",0,50,0,0,2.32723
1974,"OH",0,26,0,0,1.39254
1974,"OH",0,29,1,0,1.80893
1974,"OH",0,43,0,0,2.18164
1974,"OH",0,41,0,0,1.155
1974,"OH",0,56,0,0,1.66583
1974,"OH",0,57,0,0,0.83915
1974,"OH",0,29,1,0,1.78361
1974,"OH",0,37,1,0,1.19583
1974,"OH",0,56,0,0,2.13192
1974,"OH",0,58,0,0,2.10766
1974,"OH",0,61,0,0,1.88897
1974,"OH",0,51,0,0,1.45819
1974,"OH",0,51,0,0,1.48351
1974,"OH",0,29,1,0,1.37815
1974,"OH",0,41,0,0,2.08964
1974,"OH",0,50,0,0,1.73815
1974,"OH",0,54,0,0,1.76114
1974,"OH",0,50,0,0,1.79466
1974,"OH",0,46,0,0,1.22732
1974,"OH",0,49,0,0,2.47676
1974,"OH",0,45,0,0,1.66583
1974,"OH",0,31,1,0,1.77775
1974,"OH",0,52,0,0,1.46433
1974,"OH",0,23,1,0,1.19583
1974,"OH",0,59,0,0,1.72174
1974,"OH",0,58,0,0,1.06799
1974,"OH",0,46,0,0,2.47676
1974,"OH",0,42,0,0,0.97268
1974,"OH",0,60,0,0,2.9265
1974,"OH",0,45,0,0,2.2567
1974,"OH",0,57,0,0,2.11212
1974,"OH",0,47,0,0,2.24104
1974,"OH",0,56,0,0,2.21467
1974,"OH",0,42,0,0,2.11212
1974,"OH",0,50,0,0,1.60395
1974,"OH",0,45,0,0,1.24712
1974,"OH",0,23,0,0,1.14176
1974,"OH",0,44,0,0,2.53188
1974,"OH",0,43,0,0,1.77468
1974,"OH",0,20,0,0,1.5323
1974,"IL",1,21,1,0,1.09047
1974,"IL",1,64,0,0,1.61979
1974,"IL",1,53,0,0,2.11212
1974,"IL",1,21,0,0,1.53942
1974,"IL",1,20,0,0,1.30915
1974,"IL",1,52,0,0,1.49593
1974,"IL",1,21,0,0,1.29114
1974,"IL",1,28,0,0,0.685
1974,"IL",1,45,0,0,1.19583
1974,"IL",1,33,1,0,2.24565
1974,"IL",1,55,0,0,2.11212
1974,"IL",1,32,1,0,1.92047
1974,"IL",1,44,0,0,1.57312
1974,"IL",1,48,0,0,2.53083
1974,"IL",1,44,0,0,1.88897
1974,"IL",1,58,0,0,1.09047
1974,"IL",1,51,0,0,2.75397
1974,"IL",1,25,1,0,1.92819
1974,"IL",1,47,0,0,2.31293
1974,"IL",1,63,0,0,1.09047
1974,"IL",1,63,0,0,0.56722
1974,"IL",1,51,0,0,1.37815
1974,"IL",1,47,0,0,0.99738
1974,"IL",1,41,0,0,2.07296
1974,"IL",1,42,0,0,1.42694
1974,"IL",1,57,0,0,1.88897
1974,"IL",1,25,0,0,2.00676
1974,"IL",1,31,1,0,2.05603
1974,"IL",1,60,0,0,2.34096
1974,"IL",1,55,0,0,3.27527
1974,"IL",1,39,0,0,1.88897
1974,"IL",1,41,0,0,0.57964
1974,"IL",1,34,1,0,1.93776
1974,"IL",1,27,1,0,1.91529
1974,"IL",1,25,0,0,1.5323
1974,"IL",1,59,0,0,1.41897
