geo,SCM,Ridge
AT,1.25152844069001e-09,-5.24699250657987e-05
BE,8.96006957261293e-09,-3.15454360623284e-05
CH,2.46231539993106e-09,5.90889819730161e-06
CZ,0.141942191775076,0.141998787913097
EE,5.4898924730516e-09,-8.46933961957769e-05
EL,0.506638055094585,0.506662696089678
ES,0.339939261044833,0.339973614962458
HU,1.4432736029497e-10,-4.69632873678924e-06
IT,2.22267861034719e-10,2.5362955454034e-05
LU,1.0021283020766e-08,-4.32637379731429e-05
NL,5.10825761918594e-10,3.43197163322871e-05
PT,0.0114804610858668,0.0115154418245209
SI,1.92633073016827e-09,5.36453498658774e-07
