geo,SCM,Ridge
AT,-4.7361384586419e-11,-0.0763644358673659
BE,-4.6267440749044e-09,0.111469859865896
CH,-1.25172415511709e-09,0.0141847267536821
CZ,-1.04171833023363e-08,0.0287205269618277
EE,0.0895914829636003,0.110769766854114
EL,-2.45414860871565e-09,-0.0652610265269851
ES,0.910408548023828,0.929769268550258
HU,1.61343986470052e-09,-0.104891969681772
IT,-2.87944664351485e-09,-0.0196320423559123
LU,-5.34711099718399e-09,-0.0124924227845488
NL,-3.15752365758746e-09,0.00785186449590582
PT,-3.57022763873663e-09,0.00587088711940096
SI,1.16144076145727e-09,0.0700049966263371
