variable,treated,synthetic
suicide_sdr,7.4875,7.48147742729356
unemp,7.012125,10.2441199683529
share65,15.8375,15.8511574836886
medage,36.925,37.6395362285225
gdp_real_pc,25448.5714285714,15342.8985566899
