unit,e,gap,ratio
AT,-8,-0.538341354591044,1.14999024793071
AT,-7,0.582533514578973,1.14999024793071
AT,-6,1.03801509652373,1.14999024793071
AT,-5,-0.639609148399444,1.14999024793071
AT,-4,-0.416648315786944,1.14999024793071
AT,-3,-0.22119183524547,1.14999024793071
AT,-2,0.590917565473728,1.14999024793071
AT,-1,-0.459866584077616,1.14999024793071
AT,0,-0.148141195806346,1.14999024793071
AT,1,-0.0303110451449378,1.14999024793071
AT,2,-0.295023126422006,1.14999024793071
AT,3,0.271789290732617,1.14999024793071
AT,4,-0.638115810472083,1.14999024793071
AT,5,-1.32049880868511,1.14999024793071
AT,6,-1.27325711044016,1.14999024793071
AT,7,-0.034271364353236,1.14999024793071
AT,8,0.596597195606668,1.14999024793071
CH,-8,0.0324255571721857,6.18305227079051
CH,-7,0.0741004770133777,6.18305227079051
CH,-6,-0.0466036165368209,6.18305227079051
CH,-5,-0.185609969813672,6.18305227079051
CH,-4,0.348782368970745,6.18305227079051
CH,-3,-0.625717817740409,6.18305227079051
CH,-2,0.361556805285694,6.18305227079051
CH,-1,0.063477969179722,6.18305227079051
CH,0,1.46324449208389,6.18305227079051
CH,1,-1.51899589187395,6.18305227079051
CH,2,0.0300016535697303,6.18305227079051
CH,3,0.665558119891525,6.18305227079051
CH,4,1.22999622972969,6.18305227079051
CH,5,3.10519584522723,6.18305227079051
CH,6,2.76715704038897,6.18305227079051
CH,7,-1.12494524977779,6.18305227079051
CH,8,-2.18012110403345,6.18305227079051
CZ,-8,0.821792522919246,2.10539032635609
CZ,-7,0.0389658084608158,2.10539032635609
CZ,-6,-1.48030233058874,2.10539032635609
CZ,-5,0.126304408214821,2.10539032635609
CZ,-4,-0.0203978225795005,2.10539032635609
CZ,-3,0.0553609642545361,2.10539032635609
CZ,-2,0.403369577423575,2.10539032635609
CZ,-1,0.0982633486184668,2.10539032635609
CZ,0,-2.42617408540056,2.10539032635609
CZ,1,0.741015890100268,2.10539032635609
CZ,2,-1.01971363785489,2.10539032635609
CZ,3,0.228928174210981,2.10539032635609
CZ,4,-0.974767339740902,2.10539032635609
CZ,5,-2.01604841230408,2.10539032635609
CZ,6,-1.63428664653555,2.10539032635609
CZ,7,-0.0999097217981184,2.10539032635609
CZ,8,0.189943426867135,2.10539032635609
DE,-8,-0.384005580022706,2.61716970999825
DE,-7,0.402152159808757,2.61716970999825
DE,-6,-0.299696419257032,2.61716970999825
DE,-5,0.29258472638938,2.61716970999825
DE,-4,0.123439301092761,2.61716970999825
DE,-3,-0.173956923959583,2.61716970999825
DE,-2,0.051610990388534,2.61716970999825
DE,-1,0.0486723960718027,2.61716970999825
DE,0,-0.74486511149367,2.61716970999825
DE,1,-0.0783530967248804,2.61716970999825
DE,2,-0.382274245341199,2.61716970999825
DE,3,-0.0894067682610178,2.61716970999825
DE,4,-0.102142481938614,2.61716970999825
DE,5,-0.933838633758981,2.61716970999825
DE,6,-0.727257336790441,2.61716970999825
DE,7,0.00778194917700148,2.61716970999825
DE,8,1.41320093733903,2.61716970999825
EE,-8,4.08459258384684,1.52034108915678
EE,-7,6.52042269101501,1.52034108915678
EE,-6,4.54726335123,1.52034108915678
EE,-5,3.84654937669731,1.52034108915678
EE,-4,0.938207095456711,1.52034108915678
EE,-3,-0.777657399957903,1.52034108915678
EE,-2,-7.66168351427216,1.52034108915678
EE,-1,-1.95406693269778,1.52034108915678
EE,0,-2.8276434742053,1.52034108915678
EE,1,-4.70918371878598,1.52034108915678
EE,2,-4.92934957191844,1.52034108915678
EE,3,-7.61760030361479,1.52034108915678
EE,4,-7.79612485499646,1.52034108915678
EE,5,-6.92963067808692,1.52034108915678
EE,6,-8.37300633147714,1.52034108915678
EE,7,-5.47606237844688,1.52034108915678
EE,8,-9.55139402975001,1.52034108915678
EL,-8,-0.0371768206906724,7.69166592731984
EL,-7,-0.563116102106301,7.69166592731984
EL,-6,0.00474405804870459,7.69166592731984
EL,-5,0.293594847187731,7.69166592731984
EL,-4,0.682448764140377,7.69166592731984
EL,-3,0.540782046920364,7.69166592731984
EL,-2,0.0672549079963081,7.69166592731984
EL,-1,-1.13869935249614,7.69166592731984
EL,0,-4.32180486835489,7.69166592731984
EL,1,-4.85930785415209,7.69166592731984
EL,2,-5.14757852049156,7.69166592731984
EL,3,-3.25487013377506,7.69166592731984
EL,4,-2.75677709945898,7.69166592731984
EL,5,-3.44947599965629,7.69166592731984
EL,6,-4.53407447017736,7.69166592731984
EL,7,-4.32830613663527,7.69166592731984
EL,8,-5.08190879769924,7.69166592731984
ES,-8,-0.359398418044549,2.46742443025056
ES,-7,-0.0370297605933203,2.46742443025056
ES,-6,0.0269719918777174,2.46742443025056
ES,-5,0.206907829793305,2.46742443025056
ES,-4,-0.119669247181868,2.46742443025056
ES,-3,-0.052511325836976,2.46742443025056
ES,-2,0.341585161442273,2.46742443025056
ES,-1,0.0569087027306434,2.46742443025056
ES,0,0.222796789329944,2.46742443025056
ES,1,0.247737272831825,2.46742443025056
ES,2,0.446896969051852,2.46742443025056
ES,3,-0.274643127052151,2.46742443025056
ES,4,-0.602849052026866,2.46742443025056
ES,5,0.367455447472628,2.46742443025056
ES,6,0.281780755525705,2.46742443025056
ES,7,-0.256153753630231,2.46742443025056
ES,8,-1.04927886474519,2.46742443025056
HU,-8,0.242827111779334,5.21642944508819
HU,-7,0.0987304672987506,5.21642944508819
HU,-6,-0.183870513693876,5.21642944508819
HU,-5,-0.11103334591526,5.21642944508819
HU,-4,-0.91448979688144,5.21642944508819
HU,-3,0.80649176178229,5.21642944508819
HU,-2,0.571494524708591,5.21642944508819
HU,-1,-0.49311897376861,5.21642944508819
HU,0,1.93948732769635,5.21642944508819
HU,1,-0.446234788635518,5.21642944508819
HU,2,2.30843988144052,5.21642944508819
HU,3,0.561753269518228,5.21642944508819
HU,4,0.0314622709902253,5.21642944508819
HU,5,3.69406913990441,5.21642944508819
HU,6,4.43145600464788,5.21642944508819
HU,7,2.29164193296851,5.21642944508819
HU,8,4.28118195992293,5.21642944508819
LU,-8,0.719742574304807,2.54341347762028
LU,-7,-1.94013550388085,2.54341347762028
LU,-6,0.0211947028238804,2.54341347762028
LU,-5,2.82317291233396,2.54341347762028
