geo,SCM,Ridge
AT,8.83841632773518e-11,0.000192539380747608
BE,-9.37839468934518e-10,-0.000186437148209212
CH,5.95226930983828e-12,0.000176341483982491
CZ,-5.98972060320222e-10,4.56665962530411e-05
EE,-4.17686224917234e-10,-0.00135367261637433
EL,0.612442060123388,0.612569078819577
ES,-5.43053393951009e-11,0.000108989567634154
HU,0.239288829573821,0.239592680551105
IT,-5.73139892327748e-11,2.09470757706632e-05
LU,0.0380184707064062,0.0382135907183896
NL,-6.41920969225598e-11,3.18834215224228e-05
PT,1.57841910889976e-11,6.76603180530915e-05
SI,0.110250641617654,0.110520731832629
