type,weight,avg_estimate,contribution
Treated vs Untreated,0.863674851820491,3.57225490196082,3.08526672311603
Earlier vs Later Treated,0.0245554614733277,-0.222413793103447,-0.00546147332768838
Later vs Earlier Treated,0.111769686706181,0.285606060606062,0.0319220999153262
--- Reconstructed TWFE (sum) ---,1,,3.11172734970367
Actual TWFE coefficient,,,3.11172734970364
