variable,treated,synthetic
suicide_sdr,12.0636363636364,12.0334559996325
unemp,7.55336363636364,14.2103314131736
share65,11.2727272727273,15.7048389635349
medage,31.9909090909091,36.9536996040829
gdp_real_pc,30966,19271.9805864019
