term,estimate,std.error,conf.low,conf.high
-8,1.69184524726827,0.855697294387681,0.0146785502684188,3.36901194426813
-7,2.86638321867485,1.16330265053133,0.58631002363345,5.14645641371626
-6,1.7258646321991,1.22991247096608,-0.684763810894419,4.13649307529261
-5,2.71356434973024,1.64968948280357,-0.519827036564766,5.94695573602525
-4,3.65596606581618,1.65731076131203,0.407636973644592,6.90429515798776
-3,3.08036769786523,1.82679817305425,-0.500156721321095,6.66089211705156
-2,3.96026260054204,1.99360322377077,0.0528002819513254,7.86772491913275
-1,4.05745389137435,1.99788992714984,0.141589634160666,7.97331814858803
0,1.41945796189101,0.568575198461648,0.305050572906184,2.53386535087584
1,1.24069095149933,0.614749253617951,0.0357824144081464,2.44559948859051
2,1.69007925817999,0.841502207137569,0.0407349321903578,3.33942358416963
3,2.86780172696353,0.9955394717148,0.916544362402527,4.81905909152454
4,3.55110938242001,1.04439437570278,1.50409640604256,5.59812235879745
5,3.04109897989325,1.33132047916394,0.43171084073193,5.65048711905456
6,3.37603862607448,1.25904189902864,0.908316503978346,5.84376074817061
7,2.73411426711387,1.39573628541763,-0.00152885230468236,5.46975738653243
8,3.24258212396896,1.5885890135786,0.128947657354901,6.35621659058303
9,3.30887649786156,1.70616846922314,-0.0352137018157839,6.65296669753891
10,4.70886876250177,1.88715399133855,1.01004693947822,8.40769058552531
11,5.00346532299032,2.05961508505844,0.966619756275772,9.04031088970487
12,4.15436865309219,2.06788547856006,0.10131311511448,8.2074241910699
13,5.29137555416388,2.16410155376097,1.04973650879237,9.53301459953539
14,6.10966019679637,1.97562430734181,2.23743655440643,9.98188383918632
15,5.56936503870751,2.26820693363596,1.12367944878104,10.015050628634
