geo,SCM,Ridge
AT,-1.39598211515781e-10,-0.0958558750728554
BE,-7.7561614293205e-10,-0.0961881960698951
CH,2.81268418356732e-11,0.0169536598610716
CZ,1.27982721721282e-10,0.106967954134025
EE,1.60620866871765e-10,-0.0538999522256262
EL,0.293917980891477,0.295486066035693
ES,-4.63593355626763e-11,0.0380867547836222
HU,0.0659732068520392,0.0949484838765867
IT,-2.57480827043762e-11,0.0139481839667278
LU,0.207559825496002,0.210102011822256
NL,-1.64849464010252e-11,-0.0132475673185612
PT,0.335220020639033,0.328286390716119
SI,0.0973289668085991,0.15441208549091
